time_hr,T_water,T_bed,T_air,Q_sw_net,Q_lw_in,Q_lw_out,Q_evap,Q_conv,Q_bed,Q_gw,Q_net
0.0,11.999902117074866,13.99999,6.339745962155613,0.0,301.8042146067644,363.620447406196,76.03217043997842,25.44781001027316,12.0,-167.44000000000003,-327.7903396878861
0.25,9.335990139618467,13.962792946029694,6.089994905894039,0.0,300.5337641307243,350.2212864928266,59.15957350405429,14.630799464168005,27.760867593300308,55.589676927048586,-49.14336373389743
0.5,9.261529759841526,13.921004312284653,5.840243849632465,0.0,299.26971494536537,349.85216680588104,59.29740142026422,15.42197810899529,27.956907370219064,61.8236160210813,-44.49939944683579
0.75,9.18706976974077,13.878922940666673,5.590492793370891,0.0,298.01197262189913,349.483340897885,59.435250315174905,16.213270605179705,28.151188380032778,68.05752258886756,-39.85153740609712
1.0,9.112610161676296,13.836551457449573,5.340741737109317,0.0,296.76044099814015,349.1148085727062,59.57312014948608,17.004676918000197,28.34372642616564,74.29139726810605,-35.19985417772483
1.25,9.078126399142718,13.794038898396277,5.255556302831987,0.0,296.3470804930338,348.94423219056665,59.572921366218225,17.233817016318795,28.295557669605444,77.17843735608498,-32.82030746917046
1.5,9.052714678147604,13.75167201504308,5.1703708685546585,0.0,295.9378643176253,348.8185717824401,59.619874588503336,17.50372410753696,28.193828762606827,79.30594257871388,-31.38267074906308
1.75,9.027303438905442,13.70945704221226,5.08518543427733,0.0,295.53277337593386,348.69294769076157,59.666832510432606,17.773646402530233,28.093008441392207,81.43340758932649,-29.94022039834988
2.0,9.001892678771418,13.667392623131361,5.0,0.0,295.1317885609733,348.56735989448515,59.71380990124103,18.043583889261843,27.993088581081317,83.56083260831709,-28.492997591445558
2.25,9.017867994048009,13.625629011171089,5.08518543427733,0.0,295.59555366215966,348.6463108506411,59.617791436331586,17.731263968121436,27.64665166458446,82.22335659652715,-29.39767094168765
2.5,9.043235630837112,13.584459071696346,5.1703708685546585,0.0,296.06360784939733,348.7717074242073,59.57060836008761,17.461145004069248,27.247420847603873,80.0995311160868,-31.274809210758107
2.75,9.068604031663135,13.543885293628806,5.255556302831987,0.0,296.5359703981724,348.8971415874366,59.52343145355804,17.19104249525576,26.851762446373204,77.97564186116385,-33.144319942486106
3.0,9.093973195199,13.503902342393875,5.340741737109317,0.0,297.0126605746586,349.02261334291285,59.47626070967557,16.920956436075173,26.459644461223746,75.85168894253152,-35.00621632748948
3.25,9.159318795910712,13.464651364760911,5.590492793370891,0.0,298.32859141988956,349.3459569163185,59.29102872726484,16.08859474488965,25.832054457618234,70.38085205785026,-39.13394019571166
3.5,9.233737171588883,13.42641129661113,5.840243849632466,0.0,299.65127369676634,349.71446855831147,59.152971020322695,15.297103807206076,25.156091344677407,64.15041908714207,-44.19629746815741
3.75,9.308156764163792,13.389180626945953,6.08999490589404,0.0,300.98080513623705,350.0832776850165,59.01493859845877,14.50573039116442,24.486177373280178,57.91988454161284,-49.246503777596736
4.0,9.3825775774791,13.35295032280247,6.3397459621556145,0.0,302.3172817715959,350.4523844833641,58.87693148069502,13.714474515564067,23.822258322384833,51.6892481004312,-54.28452073835908
4.25,9.492841357587196,13.317842723042991,6.737042518650342,0.0,304.416622268806,350.9997984410587,58.61522620468306,12.419488419514598,22.950013036107794,42.45778797808866,-61.34258845031806
4.5,9.611240325092243,13.284103744218898,7.1343390751450695,0.0,306.5273793306932,351.58831444929905,58.39584389590212,11.161347287637376,22.0371666593513,32.545229194481685,-69.23155182823317
4.75,9.729641116535559,13.251727896419391,7.531635631639797,0.0,308.64979048306265,352.1775792702883,58.17651905229903,9.90349795257685,21.132488198600512,22.632518166314405,-77.1022931416785
5.0,9.848043746702132,13.220702982836203,7.9289321881345245,0.0,310.78408517089065,352.76759363130645,57.95725174832515,8.645940484381695,20.235904384193276,12.719653659467374,-84.95466520458872
5.25,9.995713332973223,13.191124117402696,8.446699141100893,0.0,313.55712202459074,353.5044867593774,57.637099299801946,6.977638153535943,19.172391361822484,0.35651876583875214,-94.43990572120106
5.5,10.149999263628832,13.16318723583474,8.964466094067262,0.0,316.34781042917524,354.27562977965806,57.62107304727781,5.339571830346658,18.079030351366093,-12.560559861707157,-104.86042805132362
5.75,10.30428749422937,13.136883042872617,9.482233047033631,0.0,319.15653115121677,355.0480452516189,57.61271829193597,3.701997506226989,16.995451753402737,-25.477830599499928,-115.26330467919877
6.0,10.458578298311899,13.11219693290228,10.0,0.0,322.0439950561051,355.82173587864594,57.60438131127815,2.064916329146769,15.921566411599997,-38.395314687337,-125.58210659038596
6.25,10.63724787044822,13.089205258280485,10.602952387243699,40.36523448959973,325.49069973523547,356.71919142821355,57.15424981925013,0.15451883002224112,14.711644847876396,-53.35280616162906,-96.57790815846043
6.5,10.820986761199448,13.068061621638266,11.205904774487397,80.73046897919946,328.9584166269675,357.6438816368966,56.73969108875831,-1.7324017116681008,13.482394590569104,-68.73471373154405,-68.0833570476038
6.75,11.004728572806906,13.048753596192112,11.808857161731094,121.09570346879919,332.44797399153305,358.57038312235915,56.32529453794418,-3.618647584763397,12.264140582759815,-84.11686510330304,-39.55951635549695
7.0,11.188473369721697,13.031264761903914,12.411809548974793,161.46093795839892,335.9601405813796,359.4986986207203,55.91106060830183,-5.5042184909593255,11.056783918161678,-99.49926565680441,-11.005748154368419
7.25,11.38267281170728,13.01561702556981,13.058857161731094,198.90115545599866,339.7455980633568,360.4817987917131,55.4458663031837,-7.540382578295809,9.797739548678056,-115.75701510044581,14.107827509086036
7.5,11.57927946906601,13.001868927089298,13.705904774487397,236.34137295359844,343.55785650651444,361.4791384445934,54.99765299499194,-9.564942142773488,8.535649302147618,-132.21630215041597,38.99999161983723
7.75,11.775889588751225,12.990005481087277,14.352952387243699,273.78159045119816,347.39767440705214,362.47856372728455,54.549628159440175,-11.588725527688839,7.284846315102374,-148.67587819934297,63.926836382762275
8.0,11.972503229672975,12.980009832944228,15.0,311.22180794879796,351.265767693655,363.4800779053494,54.10179219727854,-13.611732456913884,6.045229106904042,-165.13574816457376,88.88894590825953
8.25,12.168734482482533,12.971863707752178,15.647047612756301,343.5919959935977,355.3497129319448,364.4817185080834,53.057444778708785,-15.635697676345996,4.818995874639089,-181.56371004749383,109.63303775428318
8.5,12.364929421984943,12.965548357596823,16.294095225512603,375.9621840383975,359.45938931057543,365.4852418553745,52.013246253814344,-17.659066959670174,3.603965293982018,-197.9886308659557,130.41370494816323
8.75,12.561127687309277,12.961047386665534,16.941142838268902,408.33237208319724,363.5958910446757,366.49085303318304,50.96945865100784,-19.6816615589167,2.3998011477975965,-214.41382928882945,151.22770813022657
9.0,12.757329366549182,12.958344568875896,17.588190451025206,440.702560127997,367.7602305639083,367.49855544518107,49.926082580155075,-21.70348106678285,1.2064055521031243,-230.83931266950518,172.0759196990327
9.25,12.942130946135704,12.95738176757271,18.191142838268902,465.46770399359684,371.6789877969394,368.44961433073826,48.96792810803379,-23.577928989042974,0.09183853042017631,-246.31055436065918,185.93799287666008
9.5,13.124434389780207,12.958062972433744,18.794095225512603,490.2328478591967,375.6243532700304,369.38962362504674,47.99267105770528,-25.462993662028897,-0.9978749793891382,-261.5726446461518,200.09864988486214
9.75,13.306741140801472,12.960371424684299,19.397047612756303,514.9979917247965,379.5970257329203,370.3314474784522,47.017774061417285,-27.34738480086381,-2.0778447410852436,-276.83501099754415,214.29241420809416
10.0,13.489051254878056,12.96429257456205,20.0,539.7631355903964,383.59881853440606,371.27508856461685,46.043237501344244,-29.23110214614108,-3.148158384771282,-292.0976580346602,228.5209492295187
10.25,13.649899660817553,12.969733057362049,20.51776695296637,555.3632262143963,387.26026032293703,372.1091485079568,44.63767433854151,-30.828747258743117,-4.08059818313966,-305.56371352135966,235.44329143539073
10.5,13.805976132356813,12.976527097832708,21.035533905932738,570.9633168383962,390.9423162110389,372.91980560029776,43.1992023123196,-32.44746508926045,-4.976283889171697,-318.63024931872417,242.8992875318511
10.75,13.962055217870018,12.984658647378819,21.553300858899107,586.5634074623961,394.6456698874857,373.7318000821264,41.761176130812544,-34.06568628579806,-5.863960137658513,-331.6970033037309,250.3814538847269
11.0,14.118136972583931,12.99411574599574,22.071067811865476,602.163498086396,398.3709681645296,374.54513374747,40.32359618091768,-35.68341059251572,-6.7436990193666375,-344.7639800862576,257.8903387644935
11.25,14.244004009665899,13.004775459684746,22.468364368360202,607.6235298047959,401.2996764707517,375.20199794269865,39.263400212700994,-36.89680826252452,-7.434948765344831,-355.3016012123263,256.57907611087876
11.5,14.36313531151981,13.01641260254002,22.86566092485493,613.0835615231958,404.2448512317894,375.82450472448585,38.15643363618667,-38.14037393707351,-8.0799179722156,-365.27528814802173,256.0052966741951
11.75,14.48226866604749,13.029012865445528,23.26295748134966,618.5435932415959,407.2067966688427,376.4477965112338,37.04973283004631,-39.38364573281526,-8.719120709233337,-375.24914642061407,255.4520352720611
12.0,14.601404096604224,13.042567637630292,23.660254037844386,624.0036249599958,410.1858091624752,377.07187410674294,35.943297958421304,-40.626623540220706,-9.352608780997809,-385.2231779795916,254.91952456206388
12.25,14.683666620266392,13.05693288327152,23.91000509410596,618.5435932415959,412.16503974516587,377.5032646559907,35.29937476381471,-41.37448763678949,-9.760012178060023,-392.1104433218396,245.04507451149118
12.5,14.757692137544828,13.071839495894178,24.15975615036753,613.0835615231958,414.1552886164085,377.89177622407465,34.59804066222698,-42.15950191792032,-10.114743476209416,-398.3080842290328,236.0610488074886
12.75,14.831718990517473,13.087275822836915,24.409507206629108,607.6235298047959,416.1566687529123,378.2805945928355,33.89681495134644,-42.94439844436164,-10.466304462881041,-404.5058366274653,227.09034630495432
13.0,14.905747187121344,13.103237130015518,24.65925826289068,602.163498086396,418.1692924376056,378.6697199742696,33.19569768711297,-43.72917717855884,-10.814723590202082,-410.7037011796366,218.1330464982109
13.25,14.938830467861271,13.11956833551408,24.74444369716801,586.5634074623961,419.047968680387,378.8437385586862,33.01130914597853,-43.96135531401203,-10.915267676604334,-413.4738678416164,200.75710917349807
13.5,14.962744465702595,13.135975110703875,24.82962913144534,570.9633168383962,419.9333414953529,378.96956993175354,32.762907670432384,-44.235015456589885,-10.96034060829992,-415.47635755617694,184.36449777881558
13.75,14.98665914842096,13.15244919485436,24.914814565722672,555.3632262143963,420.82543635169395,379.09543624162814,32.51452231101835,-44.50865992232847,-11.005013781318091,-417.4789044387373,167.97868262516596
14.0,15.010573677707018,13.16898998993492,25.0,539.7631355903964,421.7242787424364,379.2213331210801,32.290281552371866,-44.78229247249149,-11.049285797024073,-419.48143890665494,151.5756390659202
14.25,14.992219220998239,13.18544169211365,24.914814565722672,514.9979917247965,421.439087236413,379.124761307693,32.55342860409219,-44.48344261968994,-10.840490374438037,-417.94539785020186,127.8132708273821
14.5,14.964382946787932,13.20150450520807,24.82962913144534,490.2328478591967,421.1589111783617,378.97831535502354,32.774513483355825,-44.227493277172414,-10.577135338178188,-415.615514329924,105.0390064728985
14.75,14.936546918635136,13.217174060162783,24.74444369716801,465.46770399359684,420.8837268960634,378.83191312313,32.9956118168965,-43.97152911481644,-10.316141334627435,-413.28565134986934,82.26713057307154
15.0,14.908711136306644,13.232453882627611,24.65925826289068,440.702560127997,420.6135107328455,378.68555460146973,33.2167236030719,-43.71555013376827,-10.057487208384998,-410.95580889055816,59.49764136914064
15.25,14.840156783430295,13.247198002479,24.409507206629108,408.33237208319724,419.19928116695286,378.3252386582874,33.95613756957145,-42.90595379714303,-9.557745280899788,-405.2171557750011,30.80535132852475
15.5,14.76245581527432,13.261121498001001,24.159756150367535,375.9621840383975,417.7912617323769,377.9171522840481,34.63178608351651,-42.137634415760864,-9.008045411792992,-398.71272366389394,3.0876348913125184
15.75,14.684754902059165,13.274224145398222,23.910005094105962,343.5919959935977,416.38935514276864,377.5093964279043,35.30753515219315,-41.36919997215011,-8.463270984894848,-392.20829614109965,-24.62962825185855
