time_hr,T_water,T_bed,T_air,Q_sw_net,Q_lw_in,Q_lw_out,Q_evap,Q_conv,Q_bed,Q_gw,Q_net
0.0,11.999901271491307,13.999990000000166,6.339746,0.0,301.8042147997634,363.6204475753114,78.23815393831278,26.186148044651645,11.9999998010702,-167.44000277573383,-330.734664177169
0.25,9.33362763100467,13.961710439244651,6.089995,0.0,300.53376460972083,350.20957346348985,60.863388698774834,15.044373293226066,27.76854423824809,55.787418645356446,-51.04362090045699
0.5,9.259049367448688,13.919909813132712,5.840244,0.0,299.2697157092887,349.83987893445476,61.00458446663568,15.85796284583448,27.965219340456184,62.03122660155861,-46.41435606690012
0.75,9.184471395932928,13.877815499998139,5.5904929999999995,0.0,298.0119736697205,349.47047862055956,61.14580124008002,16.6716692065981,28.160130566450643,68.27501020558793,-41.781193835570235
1.0,9.10989371071711,13.835430133752594,5.340742,0.0,296.7604423288744,349.10137233548295,61.28703898875337,17.485492348700824,28.353293754084877,74.51876993610293,-37.1442109237412
1.25,9.07762517082918,13.792920009496838,5.2555565,0.0,296.3470814905257,348.94175656456076,61.29868157449187,17.731521047721294,28.291847776842776,77.22034562322442,-35.00309674089681
1.5,9.052176875648126,13.750558501916442,5.170370999999999,0.0,295.9378649822589,348.81591600290807,61.346801593370145,18.0090905087385,28.190370561287782,79.35091270320486,-33.57079580773298
1.75,9.026728942169326,13.708348528476648,5.0851855,0.0,295.53277370807615,348.6901112619196,61.39492579986277,18.286675070869848,28.08980039353985,81.48144962205366,-32.13367162022482
2.0,9.001281368405488,13.666288734704496,5.0,0.0,295.1317885609733,348.56434232425187,61.44306939521209,18.564274724824045,27.990129158569754,83.61195654510529,-30.691765836468875
2.25,9.01963553839891,13.624547237083878,5.0851855,0.0,295.59555399437255,348.65505043068003,61.35698809851864,18.25388842862189,27.629551304602654,82.0753168931975,-31.83337138547907
2.5,9.04505074834313,13.583403046696601,5.170370999999999,0.0,296.0636085143132,348.78068454841133,61.30869019062008,17.97615213639784,27.230189550420814,79.9475086978747,-33.70612836824989
2.75,9.070466532179239,13.542855212386781,5.2555565,0.0,296.5359713963001,348.90635544296117,61.26039760630008,17.698431912352145,26.83440252092843,77.81965264751747,-35.57123753875641
3.0,9.095882888910115,13.50289839613352,5.340742,0.0,297.0126619065238,349.03206311782355,61.21211034009921,17.42072775215416,26.44215819379902,75.69174882527405,-37.42871214167576
3.25,9.163608841415584,13.46369099299271,5.5904929999999995,0.0,298.3285924688241,349.36719631078046,61.034233995451736,16.575222186601177,25.80054706336303,70.02162340594231,-41.77574732876862
3.5,9.23815558891108,13.425498550250095,5.840244,0.0,299.6512744616636,349.7363606844821,60.89285620463416,15.761362760877686,25.12409949429714,63.78044349214675,-46.82430043573637
